,BKGPIDFP00,compensation_sum,additional_compensation_sum,elevation_sum,mitigation_sum,all_grants_sum,all_grants_count,value_sum,damage_sum,insurance_sum,Total,White,Black,Hispanic,Indigenous,Asian,NHOPI,Other,Multiracial,households_2000_total,households_2000_owner_occupied,households_2000_owner_occupied_black,buyouts_count,buyouts_sum,Neighborhood,damage_mean,grant_insurance_sum,grant_insurance_mean,uncovered_sum,uncovered_mean,uncovered_percent,white_percent,rh_household_pct,households_2000_owner_occupied_pct,households_2000_owner_occupied_black_pct,buyouts_households_pct,buyouts_owner_occupied_pct
0,220710001003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,508,61,38,2,6,1,0,14,339,170,8,0.0,0.0,Algiers Point,,0.0,,0.0,,,0.8063492063492064,0.0,0.5014749262536873,0.02359882005899705,0.0,0.0
1,220710001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873,554,262,27,7,8,0,10,5,389,196,27,0.0,0.0,Algiers Point,,0.0,,0.0,,,0.6345933562428407,0.0,0.5038560411311054,0.06940874035989718,0.0,0.0
2,220710001002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878,543,275,46,3,6,0,0,5,417,184,29,0.0,0.0,Algiers Point,,0.0,,0.0,,,0.6184510250569476,0.0,0.4412470023980815,0.06954436450839328,0.0,0.0
3,220710002002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613,94,507,2,2,4,0,1,3,243,113,88,1.0,50000.0,McDonough,,0.0,,0.0,,,0.1533442088091354,0.0,0.46502057613168724,0.36213991769547327,0.008849557522123894,0.008849557522123894
4,220710002001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734,90,595,22,3,10,0,1,13,253,117,80,0.0,0.0,McDonough,,0.0,,0.0,,,0.1226158038147139,0.0,0.4624505928853755,0.31620553359683795,0.0,0.0
5,220710004001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305,254,994,24,0,14,0,0,19,450,235,153,1.0,106185.11,Whitney,,0.0,,0.0,,,0.1946360153256705,0.0,0.5222222222222223,0.34,0.00425531914893617,0.00425531914893617
6,220710122002,3341124.0100000002,139220.66999999998,459448.2,60000.0,3999792.88,50.0,14645192.44,19446028.790000003,5928636.51,934,837,23,38,1,30,0,0,5,431,293,7,4.0,540313.89,Marlyville/Fountainebleau,388920.57580000005,9408981.19,188179.6238,10037047.600000003,200740.95200000008,0.5161489632866064,0.8961456102783726,0.17064846416382254,0.679814385150812,0.016241299303944315,0.013651877133105802,0.013651877133105802
7,220710121023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728,640,8,39,0,22,1,1,17,295,130,1,0.0,0.0,Audubon,,0.0,,0.0,,,0.8791208791208791,0.0,0.4406779661016949,0.003389830508474576,0.0,0.0
8,220710126002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694,403,227,24,3,17,0,2,18,358,112,47,0.0,0.0,East Carrollton,,0.0,,0.0,,,0.5806916426512968,0.0,0.3128491620111732,0.13128491620111732,0.0,0.0
9,220710125001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681,553,62,35,0,20,0,1,10,377,148,13,0.0,0.0,Black Pearl,,0.0,,0.0,,,0.8120411160058737,0.0,0.3925729442970822,0.034482758620689655,0.0,0.0
