,compensation_sum,additional_compensation_sum,elevation_sum,mitigation_sum,all_grants_sum,all_grants_count,value_sum,damage_sum,insurance_sum,Total,White,Black,Hispanic,Indigenous,Asian,NHOPI,Other,Multiracial,households_2000_total,households_2000_owner_occupied,households_2000_owner_occupied_black,buyouts_count,buyouts_sum,damage_mean,grant_insurance_sum,grant_insurance_mean,uncovered_sum,uncovered_mean,uncovered_percent,white_percent,rh_household_pct,households_2000_owner_occupied_pct,households_2000_owner_occupied_black_pct,buyouts_households_pct,buyouts_owner_occupied_pct
Algiers Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381,1605,598,111,12,20,1,10,24,1145,550,64,0.0,0.0,,0.0,,0.0,,,0.6740865182696346,0.0,0.48034934497816595,0.05589519650655022,0.0,0.0
Audubon,2596614.71,34687.48,415031.89,90000.0,3136334.08,41.0,12891584.040000001,8179229.390000001,4655312.93,14898,12833,757,651,28,362,6,38,223,5700,3093,45,1.0,131930.99,199493.39975609758,7286615.119999999,177722.31999999998,892614.2700000014,21771.079756097595,0.10913182983855663,0.8613907907101624,0.01325573876495312,0.5426315789473685,0.007894736842105263,0.00032331070158422246,0.00032331070158422246
B.W. Cooper,307032.36,193300.0,60000.0,0.0,560332.36,6.0,742197.5,1628017.82,48221.43,4339,9,4268,38,2,0,3,2,17,1421,56,55,4.0,209065.13999999998,271336.30333333334,548553.79,91425.63166666667,1079464.03,179910.67166666666,0.6630541857336673,0.0020742106476146576,0.10714285714285714,0.03940886699507389,0.03870513722730472,0.07142857142857142,0.07142857142857142
Bayou St. John,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4861,1298,3298,154,18,43,2,8,40,2113,740,305,7.0,605009.9,,0.0,,0.0,,,0.26702324624562845,0.0,0.3502129673450071,0.14434453383814483,0.00945945945945946,0.00945945945945946
Behrman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10430,1338,8071,690,20,168,1,17,125,3568,1680,1080,10.0,848650.63,,0.0,,0.0,,,0.12828379674017257,0.0,0.47085201793721976,0.30269058295964124,0.005952380952380952,0.005952380952380952
Black Pearl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772,977,650,74,1,47,0,4,19,967,368,97,0.0,0.0,,0.0,,0.0,,,0.551354401805869,0.0,0.38055842812823165,0.10031023784901758,0.0,0.0
Broadmoor,51344390.68,13517943.8,6842712.81,933175.34,72638222.63,701.0,141679732.24,152938541.39000002,54712918.58,7232,1866,4931,266,14,47,1,13,94,2915,1403,805,39.0,4551804.9,218171.95633380886,119575253.06,170578.10707560627,33363288.330000013,47593.84925820259,0.21814833610137654,0.25801991150442477,0.49964362081254454,0.481303602058319,0.27615780445969124,0.027797576621525304,0.027797576621525304
Bywater Neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5096,1649,3113,243,16,30,1,7,37,2263,862,316,18.0,1627553.09,,0.0,,0.0,,,0.32358712715855575,0.0,0.3809102960671675,0.13963764913831198,0.02088167053364269,0.02088167053364269
Central Business District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1794,991,590,58,6,106,1,12,30,921,214,9,1.0,19878.6,,0.0,,0.0,,,0.552396878483835,0.0,0.23235613463626492,0.009771986970684038,0.004672897196261682,0.004672897196261682
Central City Neighborhood,2354849.33,1776737.14,699186.35,37500.0,4868272.82,42.0,5344087.2,7926177.4799999995,1763283.5,19072,1895,16599,307,26,108,2,7,128,8147,1327,1097,31.0,2797114.59,188718.51142857142,5894869.97,140354.0469047619,2031307.5099999998,48364.46452380952,0.2562783277469583,0.0993603187919463,0.031650339110776186,0.1628820424696207,0.13465079170246716,0.023360964581763375,0.023360964581763375
