,TRACTIDFP00,compensation_sum,additional_compensation_sum,elevation_sum,mitigation_sum,all_grants_sum,all_grants_count,value_sum,damage_sum,insurance_sum,Total,White,Black,Hispanic,Indigenous,Asian,NHOPI,Other,Multiracial,households_2000_total,households_2000_owner_occupied,households_2000_owner_occupied_black,buyouts_count,buyouts_sum,damage_mean,grant_insurance_sum,grant_insurance_mean,uncovered_sum,uncovered_mean,uncovered_percent,white_percent,rh_household_pct,households_2000_owner_occupied_pct,households_2000_owner_occupied_black_pct,buyouts_households_pct,buyouts_owner_occupied_pct
0,22001960100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6188,4398,1675,87,11,5,0,2,10,2236,1526,289,0.0,0.0,,0.0,,0.0,,,0.7107304460245637,0.0,0.682468694096601,0.12924865831842575,0.0,0.0
1,22001960200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5056,4775,216,35,6,1,0,3,20,1764,1461,53,0.0,0.0,,0.0,,0.0,,,0.9444224683544303,0.0,0.8282312925170068,0.030045351473922902,0.0,0.0
2,22001960300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3149,3049,67,15,8,2,1,0,7,1145,1041,13,0.0,0.0,,0.0,,0.0,,,0.9682438869482375,0.0,0.9091703056768559,0.011353711790393014,0.0,0.0
3,22001960400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5617,5307,207,43,18,6,0,5,31,1991,1630,47,0.0,0.0,,0.0,,0.0,,,0.9448103970090795,0.0,0.8186840783525866,0.023606228026117528,0.0,0.0
4,22001960500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4927,4448,378,61,13,4,1,1,21,1692,1419,52,0.0,0.0,,0.0,,0.0,,,0.9027805967119952,0.0,0.8386524822695035,0.030732860520094562,0.0,0.0
5,22001960600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5654,4774,780,49,7,12,0,3,29,2073,1474,135,0.0,0.0,,0.0,,0.0,,,0.8443579766536965,0.0,0.7110467920887602,0.06512301013024602,0.0,0.0
6,22001960700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4614,2234,2316,32,3,6,0,3,20,1723,994,367,0.0,0.0,,0.0,,0.0,,,0.48417858690940613,0.0,0.5769007544979686,0.2130005803830528,0.0,0.0
7,22001960800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5640,4949,565,54,16,30,0,2,24,2080,1340,17,0.0,0.0,,0.0,,0.0,,,0.8774822695035461,0.0,0.6442307692307693,0.008173076923076924,0.0,0.0
8,22001960900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5059,2082,2892,46,5,8,0,4,22,1782,1092,452,0.0,0.0,,0.0,,0.0,,,0.4115437833563945,0.0,0.6127946127946128,0.2536475869809203,0.0,0.0
9,22001961000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5965,4441,1396,77,11,9,0,5,26,2242,1274,212,0.0,0.0,,0.0,,0.0,,,0.7445096395641241,0.0,0.568242640499554,0.09455842997323818,0.0,0.0
10,22001961100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497,3288,155,23,10,1,0,0,20,1266,1021,33,0.0,0.0,,0.0,,0.0,,,0.9402344867028882,0.0,0.806477093206951,0.026066350710900472,0.0,0.0
11,22001961200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3495,3405,58,16,2,3,1,1,9,1148,988,12,0.0,0.0,,0.0,,0.0,,,0.9742489270386266,0.0,0.8606271777003485,0.010452961672473868,0.0,0.0
12,22003950100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4591,4391,85,42,29,4,0,2,38,1656,1461,26,0.0,0.0,,0.0,,0.0,,,0.9564365062077979,0.0,0.8822463768115942,0.01570048309178744,0.0,0.0
13,22003950200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5516,2934,1468,966,33,90,0,0,25,1200,838,102,0.0,0.0,,0.0,,0.0,,,0.5319071791153009,0.0,0.6983333333333334,0.085,0.0,0.0
14,22003950300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477,2048,1323,34,26,8,1,0,37,1369,834,295,0.0,0.0,,0.0,,0.0,,,0.5890135174000575,0.0,0.6092037983929875,0.21548575602629658,0.0,0.0
15,22003950400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4601,3434,1065,34,39,7,0,1,21,1728,1403,277,0.0,0.0,,0.0,,0.0,,,0.7463594870680287,0.0,0.8119212962962963,0.16030092592592593,0.0,0.0
16,22003950500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7255,4522,2234,70,309,33,2,6,79,2149,1626,273,0.0,0.0,,0.0,,0.0,,,0.6232942798070297,0.0,0.7566309911586785,0.1270358306188925,0.0,0.0
17,22005030101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824,4461,241,66,15,8,2,4,27,1684,1490,62,0.0,0.0,,0.0,,0.0,,,0.9247512437810945,0.0,0.8847980997624703,0.03681710213776722,0.0,0.0
18,22005030102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4377,4123,70,131,25,4,0,0,24,1529,1334,15,0.0,0.0,,0.0,,0.0,,,0.9419693854238063,0.0,0.8724656638325703,0.009810333551340745,0.0,0.0
19,22005030103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4813,4683,20,48,13,19,0,0,30,1706,1521,6,0.0,0.0,,0.0,,0.0,,,0.9729898192395595,0.0,0.891559202813599,0.0035169988276670576,0.0,0.0
20,22005030203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6296,5955,177,85,11,36,2,0,30,2227,2032,47,0.0,0.0,,0.0,,0.0,,,0.945838627700127,0.0,0.9124382577458464,0.021104625056129322,0.0,0.0
21,22005030204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6845,5965,681,115,27,14,8,5,30,2365,2132,166,0.0,0.0,,0.0,,0.0,,,0.8714390065741418,0.0,0.9014799154334038,0.07019027484143764,0.0,0.0
22,22005030205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5593,4807,521,147,18,40,2,7,51,1896,1699,137,0.0,0.0,,0.0,,0.0,,,0.8594671911317718,0.0,0.8960970464135021,0.07225738396624473,0.0,0.0
23,22005030206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6594,5415,742,353,15,27,1,6,35,2246,1893,178,0.0,0.0,,0.0,,0.0,,,0.8212010919017289,0.0,0.8428317008014248,0.0792520035618878,0.0,0.0
24,22005030300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5506,3250,2116,86,12,12,0,2,28,1856,1639,538,0.0,0.0,,0.0,,0.0,,,0.5902651652742463,0.0,0.8830818965517241,0.28987068965517243,0.0,0.0
25,22005030401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4368,3190,816,299,10,16,1,4,32,1667,1023,118,0.0,0.0,,0.0,,0.0,,,0.7303113553113553,0.0,0.6136772645470906,0.07078584283143372,0.0,0.0
26,22005030402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5621,3109,2215,232,13,27,1,1,23,1942,1393,462,0.0,0.0,,0.0,,0.0,,,0.5531044298167586,0.0,0.7173017507723995,0.23789907312049433,0.0,0.0
27,22005030500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7008,6732,154,74,5,21,0,2,20,2516,2230,47,0.0,0.0,,0.0,,0.0,,,0.9606164383561644,0.0,0.8863275039745628,0.018680445151033388,0.0,0.0
28,22005030600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973,2970,858,98,14,11,0,2,20,1370,1137,216,0.0,0.0,,0.0,,0.0,,,0.7475459350616662,0.0,0.82992700729927,0.15766423357664233,0.0,0.0
29,22005030900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4119,1410,2587,91,6,10,1,0,14,1423,994,493,0.0,0.0,,0.0,,0.0,,,0.34231609613983977,0.0,0.6985242445537596,0.34645115952213634,0.0,0.0
30,22005031000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6690,2308,4268,58,7,4,0,7,38,2264,1438,739,0.0,0.0,,0.0,,0.0,,,0.34499252615844545,0.0,0.6351590106007067,0.32641342756183744,0.0,0.0
31,22007050100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3802,1794,1933,56,7,1,0,0,11,1352,1162,500,0.0,0.0,,0.0,,0.0,,,0.47185691741188845,0.0,0.8594674556213018,0.3698224852071006,0.0,0.0
32,22007050200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5315,5227,3,52,10,0,0,0,23,2032,1816,0,0.0,0.0,,0.0,,0.0,,,0.9834430856067733,0.0,0.8937007874015748,0.0,0.0,0.0
33,22007050300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3927,1891,1984,27,3,6,0,0,16,1271,1080,464,0.0,0.0,,0.0,,0.0,,,0.4815380697733639,0.0,0.8497246262785209,0.36506687647521635,0.0,0.0
34,22007050400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160,1957,1155,24,5,0,0,0,19,1115,821,207,0.0,0.0,,0.0,,0.0,,,0.6193037974683544,0.0,0.736322869955157,0.18565022421524663,0.0,0.0
35,22007050500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3339,1391,1882,47,3,1,0,2,13,1092,876,418,0.0,0.0,,0.0,,0.0,,,0.4165917939502845,0.0,0.8021978021978022,0.38278388278388276,0.0,0.0
36,22007050600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3845,3305,346,78,39,45,0,0,32,1377,1166,65,0.0,0.0,,0.0,,0.0,,,0.8595578673602081,0.0,0.8467683369644154,0.04720406681190995,0.0,0.0
