Census Block,Sum of Total CG Amount,Sum of Total ACG Amunt,Sum of Total Elevation Amount,Sum of Total IMM Amount,Sum of TOTAL_CLOSING_AMOUNT,Count of TOTAL_CLOSING_AMOUNT2,Sum of Current PSV,Sum of Current Damage Assessment,Sum of Gross Insurance Duplication of Benefits
220039501001110,287192.91,173123.71,0.00,0.00,460316.62,11,575056.32,694737.35,44681.65
220039503003009,67911.54,52455.43,0.00,0.00,120366.97,6,158459.16,142057.26,15180.29
220039504001016,173327.63,68565.31,30000.00,15000.00,286892.94,8,353263.84,346262.47,11196.32
220039504001023,86033.78,188255.40,0.00,30000.00,304289.18,7,260228.85,363444.64,28840.21
220039504001024,137034.54,39650.21,50000.00,7500.00,234184.75,9,263134.07,316902.08,12824.69
220039504003061,264558.63,109522.13,0.00,37500.00,411580.76,14,630754.17,625476.49,31497.15
220039505004012,224919.33,80056.16,0.00,0.00,304975.49,9,444318.92,379553.92,11444.10
220039505004056,240565.68,151477.57,0.00,7500.00,399543.25,9,337332.65,544139.18,5255.38
220039505004061,408956.66,171681.91,40000.00,7500.00,628138.57,13,706146.94,799523.46,41716.22
220070501002027,168926.60,284437.74,0.00,15000.00,468364.34,10,274817.07,535419.66,17279.63
220070501003012,216456.29,182348.14,0.00,15000.00,413804.43,14,492940.07,593661.28,75802.41
220070503003003,518270.85,392608.12,0.00,37500.00,948378.97,20,939018.94,1077984.50,88051.20
220070503003082,74515.15,112788.31,0.00,7500.00,194803.46,6,104166.70,224281.38,18688.76
220070505002031,124934.67,212549.82,0.00,15000.00,352484.49,11,182746.23,369530.00,24548.51
220119601002021,218610.33,31521.76,0.00,0.00,250132.09,6,457517.90,379966.21,124057.09
220119601003063,156156.92,70123.21,0.00,0.00,226280.13,9,417571.81,366327.36,40355.24
220119601003071,155768.48,105540.16,0.00,0.00,261308.64,11,452952.58,449566.49,60936.50
220119603002002,192993.31,214488.70,0.00,30000.00,437482.01,11,461577.26,429643.33,17400.73
220119603002016,158292.86,153105.29,0.00,7500.00,318898.15,6,358087.64,516432.68,28904.05
220119604002012,347916.91,154324.32,0.00,30000.00,532241.23,23,918892.25,723291.93,106889.78
220119604003004,141504.00,9782.40,0.00,7500.00,158786.40,8,508000.00,264546.45,24476.08
220119604003013,108098.55,35857.92,0.00,30000.00,173956.47,6,233500.00,158601.80,14645.33
220119606001005,146756.24,64904.70,0.00,0.00,211660.94,6,235221.57,247897.37,22756.24
220119606003303,134506.30,140916.90,80000.00,0.00,355423.20,7,308988.38,478510.89,95635.72
220119606003306,182718.37,57477.52,0.00,7500.00,247695.89,9,371526.08,376602.27,67703.41
220119607001037,206837.72,154888.48,0.00,7500.00,369226.20,7,325410.94,440597.23,45149.60
220119607001073,71857.04,67235.62,0.00,7500.00,146592.66,6,137471.72,202680.42,28917.84
220119607001075,134791.11,111777.99,0.00,0.00,246569.10,6,233029.29,453751.09,6265.82
220119607001090,197230.57,4326.32,0.00,7500.00,209056.89,7,427441.94,378736.26,27084.72
220119607001099,91243.24,150507.74,0.00,0.00,241750.98,13,397450.83,372290.83,62740.70
220119607001105,109183.24,95857.57,0.00,7500.00,212540.81,7,518213.50,506278.96,138458.33
220119607001174,201709.92,162498.14,0.00,7500.00,371708.06,8,455623.50,823548.52,171657.11
220119607001176,124372.24,207809.69,0.00,7500.00,339681.93,7,270493.60,369473.82,28208.85
220119607001181,119275.50,82979.01,0.00,15000.00,217254.51,9,602750.67,271668.78,49794.74
220119607002022,240862.07,55329.69,0.00,7500.00,303691.76,9,685564.49,544297.71,128156.71
220119607002075,215368.65,215996.29,30000.00,0.00,461364.94,9,331066.92,560178.15,36503.97
220119607002081,217302.38,56047.99,0.00,7500.00,280850.37,6,460165.86,342539.43,101963.40
